,
2013-12-01,0
2014-04-28,48292
2014-05-30,51476
2014-06-12,51476
2014-06-16,51476
2014-07-18,51476
2014-08-08,48437
2014-08-14,48439
2014-08-29,48447
2014-09-04,48507
2014-09-12,48498
2014-09-19,48500
2014-09-26,48577
2014-10-03,48643
2014-10-10,48646
2014-10-24,48661
2014-10-31,48771
2014-11-14,48783
2014-12-05,49017
2014-12-12,49069
2014-12-19,49066
2015-01-02,49122
2015-01-16,49116
2015-01-23,49118
2015-01-30,49198
2015-02-06,49245
2015-02-13,49247
2015-02-27;49259
2015-03-06;49323
2015-03-13;49324
2015-03-20;49323
2015-03-27;49532
2015-04-03;49561
2015-04-10;49612
2015-04-21;50028
2015-04-24;50704
2015-04-28;51099
2015-05-01;51247
2015-05-12;51495
2015-05-15;51502
2015-06-05;51502
2015-06-26;51720
2015-07-03;51809
2015-07-10;52026
2015-08-08;52222
2015-08-14;52231
2015-08-21;52240
2015-08-28;52232
2015-09-04;52343
2015-09-11;52371
2015-09-18;52467
2015-10-02;52467
2015-10-09;52477
2015-10-13;52479
2015-10-23;52624
2015-10-30;52661
2015-11-09;52671
2015-11-20;53326
2015-11-27;53326
2015-12-04;53324
2015-12-18;53379
2015-12-25;53387
2015-12-31;53388
2016-01-15;53391
2016-01-22;53394
2016-02-05;53392
2016-02-12;53395
2016-02-19;53380
2016-03-04;53384
2016-03-18;53374
2016-04-08;53872
2016-04-15;53943
2016-04-22;53943
2016-04-29;53942
2016-05-20;53945
2016-05-27;53945
2016-06-24;54342
2016-07-01;54339
2016-07-08;54398
2016-07-15;54626
2016-07-22;54747
2016-07-29;54751
2016-08-19;54982
2016-08-26;54981
2016-09-05;54982
2016-11-01;71301
2016-11-11;71301
