Time,Nduta,
0,0,0
1,0,11
2,0,22
3,0,33
4,0,44
5,0,55
6,0,66
7,0,77
8,1,88
9,2,99
10,2,110
11,4,121
12,6,132
13,6,143
14,12,154
15,14,166
16,20,177
17,29,188
18,33,199
19,43,210
20,58,221
21,63,232
22,71,243
23,82,254
24,97,265
25,113,276
26,128,287
27,155,298
28,175,309
29,194,320
30,214,332
31,241,343
32,278,354
33,303,365
34,332,376
35,369,387
36,402,398
37,446,409
38,475,420
39,502,431
40,546,442
41,589,453
42,638,464
43,677,475
44,734,487
45,790,498
46,861,509
47,922,520
48,970,531
49,1046,542
50,1104,553
51,1165,564
52,1223,575
53,1284,586
54,1358,597
55,1425,608
56,1510,619
57,1573,630
58,1629,641
59,1693,653
60,1789,664
61,1877,675
62,1955,686
63,2028,697
64,2108,708
65,2182,719
66,2271,730
67,2340,741
68,2419,752
69,2509,763
70,2589,774
71,2680,785
72,2762,796
73,2839,808
74,2947,819
75,3064,830
76,3149,841
77,3260,852
78,3363,863
79,3480,874
80,3591,885
81,3709,896
82,3821,907
83,3930,918
84,4023,929
85,4125,940
86,4251,951
87,4353,962
88,4454,974
89,4573,985
90,4686,996
91,4802,1007
92,4912,1018
93,5051,1029
94,5185,1040
95,5316,1051
96,5439,1062
97,5566,1073
98,5694,1084
99,5823,1095
100,5946,1106
101,6050,1117
102,6176,1129
103,6312,1140
104,6433,1151
105,6577,1162
106,6697,1173
107,6833,1184
108,6985,1195
109,7106,1206
110,7230,1217
111,7359,1228
112,7478,1239
113,7629,1250
114,7766,1261
115,7914,1272
116,8049,1283
117,8199,1295
118,8322,1306
119,8470,1317
120,8584,1328
121,8731,1339
122,8857,1350
123,8994,1361
124,9152,1372
125,9319,1383
126,9445,1394
127,9584,1405
128,9711,1416
129,9859,1427
130,9979,1438
131,10125,1450
132,10241,1461
133,10387,1472
134,10555,1483
135,10696,1494
136,10844,1505
137,10974,1516
138,11108,1527
139,11269,1538
140,11429,1549
141,11564,1560
142,11692,1571
143,11823,1582
144,11955,1593
145,12071,1604
146,12214,1616
147,12339,1627
148,12492,1638
149,12624,1649
150,12746,1660
151,12894,1671
152,13028,1682
153,13144,1693
154,13273,1704
155,13403,1715
156,13514,1726
157,13657,1737
158,13772,1748
159,13906,1759
160,14022,1771
161,14151,1848
162,14283,3375
163,14397,4902
164,14529,6430
165,14633,6855
166,14749,7280
167,14868,7705
168,14988,8130
169,15093,8555
170,15212,8980
171,15347,9405
172,15459,9830
173,15593,10255
174,15739,10680
175,15848,11105
176,15978,11530
177,16087,11955
178,16205,12380
179,16313,12805
180,16432,13230
181,16556,13655
182,16660,14080
183,16780,14505
184,16894,14930
185,17000,15355
186,17097,15780
187,17217,16205
188,17298,16630
189,17406,17055
190,17508,17480
191,17642,17905
192,17747,18330
193,17849,18755
194,17946,19240
195,18058,19725
196,18168,20210
197,18289,20695
198,18406,21181
199,18547,21666
200,18652,22151
201,18767,22636
202,18893,23122
203,18990,23498
204,19114,23874
205,19185,24250
206,19318,24627
207,19428,25003
208,19548,25379
209,19653,25756
210,19742,26128
211,19866,26501
212,19973,26873
213,20085,27246
214,20184,27619
215,20294,27885
216,20408,28292
217,20521,28699
218,20610,29107
219,20718,29514
220,20803,29922
221,20911,30022
222,21018,30222
223,21102,30423
224,21185,30600
225,21277,31344
226,21405,32088
227,21516,32239
228,21626,32788
229,21747,33337
230,21872,34335
231,22011,34717
232,22129,35099
233,22246,35481
234,22393,35481
235,22513,35741
236,22631,36226
237,22750,36926
238,22871,37063
239,22975,37200
240,23094,37338
241,23194,37452
242,23323,37562
243,23454,37841
244,23557,38121
245,23645,38401
246,23764,38631
247,23883,38862
248,23987,38994
249,24104,39280
250,24228,39567
251,24333,39831
252,24447,40095
253,24539,40267
254,24638,40440
255,24737,40505
256,24842,40570
257,24942,40635
258,25061,40815
259,25160,40996
260,25276,41177
261,25381,41358
262,25483,41474
263,25588,41591
264,25679,41708
265,25815,41797
266,25933,41887
267,26022,41977
268,26127,42067
269,26250,42157
270,26338,42474
271,26421,42791
272,26528,43108
273,26612,43224
274,26711,43340
275,26784,43457
276,26878,43573
277,26959,43689
278,27058,43806
279,27114,44073
280,27209,44340
281,27306,44572
282,27406,44804
283,27497,45037
284,27582,45269
285,27682,45502
286,27784,45734
287,27878,45967
288,27968,46199
289,28051,46431
290,28138,46664
291,28225,46896
292,28312,47129
293,28393,47361
294,28479,47594
295,28573,47651
296,28647,47792
297,28731,47897
298,28818,47972
299,28896,48047
300,28992,48186
301,29090,48326
302,29177,48441
303,29246,48556
304,29340,48671
305,29412,48786
306,29506,48988
307,29587,49056
308,29682,49125
309,29762,49223
310,29834,49322
311,29905,49421
312,29981,49555
313,30059,49690
314,30126,49825
315,30203,49960
316,30274,50033
317,30346,50106
318,30442,50180
319,30524,50253
320,30594,50327
321,30671,50464
322,30763,50601
323,30815,50739
324,30901,50876
325,30966,51014
326,31042,51207
327,31123,51401
328,31228,51595
329,31312,51789
330,31393,51983
331,31460,52176
332,31533,52370
333,31614,52564
334,31684,52758
335,31760,52952
336,31849,53276
337,31919,53601
338,31999,53926
339,32056,54251
340,32132,54007
341,32214,53764
342,32282,53857
343,32352,53950
344,32440,54044
345,32520,54137
346,32578,54230
347,32645,54324
348,32702,54417
349,32758,54510
350,32835,54604
351,32904,54730
352,32982,54856
353,33052,54982
354,33133,55109
355,33202,55109
356,33260,55109
357,33324,55109
358,33402,55109
359,33454,55109
360,33525,55109
361,33588,55118
362,33640,55127
363,33710,55136
364,33785,55145
365,33857,55140
366,33907,55135
367,33977,55131
368,34042,55126
369,34089,55122
370,34142,55117
371,34216,55113
372,34277,55108
373,34337,55104
374,34384,55099
375,34435,55095
376,34488,55090
377,34558,55086
378,34619,55081
379,34681,55077
380,34760,55072
381,34833,55068
382,34881,55063
383,34928,55059
384,35011,55054
385,35074,55050
386,35122,55059
387,35169,55068
388,35222,55077
389,35275,55086
390,35335,55095
391,35393,55104
392,35415,55113
393,35473,55122
394,35517,55132
395,35553,55132
TEST,FAILED.,
TEST,FAILED.,
